0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1.0,1.0,1.0,13.0,10000000000000.0,50.0,14.94205093383789,67.26570010185242,19.0,12.13818421871531,0.0023148224890121583,1.2138184218720719e-05,2.3148224890142234e-05,1.1436326552427545e-08,2.6514679341005376e-10,2.260750875393569e-08
1.0,1.0,1.0,13.0,10000000000000.0,40.0,7.72469687461853,17.195110082626343,19.0,10.221457136742625,0.0018789888769390473,1.0221457136747179e-05,1.8789888769407234e-05,9.020960867189842e-09,3.3362718143692405e-10,1.7708295274587726e-08
100.0,1.0,100.0,7.0,10000000.0,25.0,2.431755781173706,14.758425951004028,19.0,1.3634175708447724,0.00013631749370013324,1.3634175708447967e-06,1.36317493700138e-06,2.438199642185168e-10,2.462580972473205e-10,7.840745129441933e-15
1.0,100.0,0.01,13.0,10000000000000.0,5.0,0.3257791996002197,14.514410972595215,19.0,2.379230050325063,0.0002679969796588466,2.379230051171546e-06,2.6799697984954275e-06,2.47840059586224e-09,6.117624629098373e-09,2.4420083732934472e-09
100.0,1.0,100.0,5.0,100000.0,20.0,1.7316648960113525,14.249594926834106,19.0,0.8962489491646295,8.962489319230826e-05,8.96248949164645e-07,8.962489319231136e-07,1.1467174432233662e-10,1.1581846592889633e-10,7.090112963037155e-19
1.0,1000.0,0.001,15.0,1000000000000000.0,10.0,4.6456618309021,14.448286771774292,29.0,1333.3970788411455,0.08356996020922125,0.0013333971262785163,0.0008356996615544589,4.234350853948854e-06,0.003038010559976101,1.2005741609755205e-06
1.0,10.0,0.1,19.0,1e+19,25.0,85.71172308921814,16.41231060028076,51.0,1027032.3666025138,102.64977324133979,1.0273977901442242,1.0272283723439601,53.10554504394531,399.9838562011719,18.41771125793457
1000.0,1.0,1000.0,12.0,1000000000000.0,30.0,5.4666430950164795,20.262309789657593,19.0,2.294982868695759,0.0003014921476847121,2.294982868695862e-06,3.0149214768473884e-06,2.54722992698575e-10,2.547643762618179e-10,2.1332741129143074e-10
100,1,100.0,20,100000000000000000000,20,33.687784910202026,16.650809049606323,51,1010088.4593315674,100.69747764217612,1.013686242370206,1.0141652163379582,538.6709594726562,500.8697204589844,4318.7978515625
10.0,1.0,10.0,9.0,1000000000.0,20.0,1.8236076831817627,14.138613939285278,19.0,1.0464886108066338,0.00013072346557407855,1.0464886108066892e-06,1.3072346557409232e-06,1.1014177764279154e-10,1.1406588867890477e-10,7.090064646497751e-11
1.0,1000.0,0.001,15.0,1000000000000000.0,45.0,7.3295979499816895,19.65695595741272,17.0,97.67904756730263,0.009803734077195259,9.767904757165664e-05,9.803734078069248e-05,1.1948321221311176e-09,2.0090776331471716e-07,9.951192092572114e-10
100.0,1.0,100.0,8.0,100000000.0,50.0,11.737255096435547,84.22272896766663,19.0,1.9134650936791786,0.00019134650936791786,1.913465093679179e-06,1.913465093679179e-06,1.1645157060868883e-10,1.1761608353921815e-10,2.2617283092453134e-18
1.0,1000.0,0.001,16.0,1e+16,40.0,32.930023193359375,17.53773283958435,19.0,979.8022868655071,0.09672961405689762,0.0009798022873022479,0.0009672961414313092,2.1777344727524905e-07,1.2569410500873346e-05,2.0542181289329164e-07
1.0,100.0,0.01,14.0,100000000000000.0,25.0,19.592650890350342,15.039973020553589,20.0,796.1877091639253,0.07476958037850068,0.0007961877119964812,0.000747695809105084,1.5294754120986909e-06,2.1437306713778526e-05,1.3303970263223164e-06
1.0,100.0,0.01,16.0,1e+16,20.0,52.04030108451843,15.0593740940094,51.0,63654.30164680139,6.163950504904477,0.06365432429265673,0.06163954890718504,0.03669936954975128,0.30845168232917786,0.03398184850811958
1.0,1000.0,0.001,9.0,1000000000.0,40.0,8.415848970413208,17.68872594833374,18.0,71.08259380294999,0.007108268886426572,7.108259380294999e-05,7.108268886426573e-05,4.0511760612815806e-10,4.055225417687325e-07,1.77164378926305e-16
1.0,10.0,0.1,12.0,1000000000000.0,20.0,1.8530807495117188,14.319342851638794,19.0,4.984984771093149,0.0006629091699750234,4.9849847712705835e-06,6.629091700222136e-06,5.670353520059734e-09,1.1020638845948838e-09,6.127182317072766e-09
10.0,1.0,10.0,11.0,100000000000.0,20.0,2.018766164779663,14.574045896530151,19.0,35.67608648382007,0.0070950678471888295,3.56760864839476e-05,7.095067847239559e-05,6.436545163523988e-08,1.1390346305040211e-10,7.068809395605058e-07
1.0,10.0,0.1,18.0,1e+18,50.0,136.6566641330719,106.6582441329956,30.0,3459.3345572957523,0.31215920150114584,0.0034593347114934853,0.0031215922932975944,9.216627950081602e-05,0.00023716477153357118,7.766642374917865e-05
1.0,1000.0,0.001,16.0,1e+16,15.0,36.89818096160889,15.067488193511963,51.0,52109.61915970303,5.1606896991797555,0.052109637698385655,0.051606933711471493,0.0036570606753230095,0.3607216775417328,0.003299995791167021
1000.0,1.0,1000.0,11.0,100000000000.0,35.0,9.004504203796387,17.131964921951294,19.0,1.7965139940605859,0.00018274179510058275,1.7965139940605949e-06,1.8274179510058435e-06,1.8430437731531413e-10,1.844867314471088e-10,1.935558484322808e-12
1.0,100.0,0.01,11.0,100000000000.0,20.0,1.850167989730835,14.574045896530151,18.0,8.182712119701304,0.0012131182912469285,8.182712119730553e-06,1.2131182912556024e-05,4.253509544582812e-08,4.055187741158761e-09,4.291989696980636e-08
1.0,100.0,0.01,13.0,10000000000000.0,25.0,7.467519998550415,15.825494766235352,17.0,41.370388402377145,0.004031748371687627,4.137038841709591e-05,4.031748374556461e-05,1.6603966912498436e-07,1.0538096262280305e-07,1.6664624524764804e-07
